approach,problem,exp_id,total_iters,total_time,total_model_time,total_eval_time,best_fitness,best_x
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218564306902038710,500,2.2724411487579346,0.984368085861206,1.2931632995605469,-65.20674896240234,"[np.float64(0.3035048496781525), np.float64(0.4061264381366204), np.float64(0.7155718655006882), np.float64(0.5920219758610447), np.float64(0.4813833216789487), np.float64(0.4446240842429917), np.float64(0.5349932039644585), np.float64(0.9464454383535293), np.float64(0.22591545393295065), np.float64(0.03702277462159964)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1772185645367172214658,500,4.038212776184082,0.9971139430999756,3.049724578857422,-63.70915222167969,"[np.float64(0.03913872833074794), np.float64(0.4808015259326708), np.float64(0.17084892961397802), np.float64(0.6262597921991178), np.float64(0.5024014589388006), np.float64(0.493052454914533), np.float64(0.5183199774527597), np.float64(0.9937434609505255), np.float64(0.8162627007875126), np.float64(0.3452176048616503)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218564943794259230,500,9.919042110443115,1.315523386001587,8.64375925064087,-65.19352722167969,"[np.float64(0.10411267022606874), np.float64(0.6097860266855989), np.float64(0.2929280552905673), np.float64(0.259393975738359), np.float64(0.4162342263873118), np.float64(0.8076554867494806), np.float64(0.7152081262372018), np.float64(0.23025888619217205), np.float64(0.8966540006317213), np.float64(0.9992526503407764)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218565941881113916,500,2.6201815605163574,0.9838933944702148,1.6415445804595947,-64.90202331542969,"[np.float64(0.39259177745895024), np.float64(0.45999640850522705), np.float64(0.4685717411006235), np.float64(0.035358723695754324), np.float64(0.8682301302454398), np.float64(0.4211809672546667), np.float64(0.6187175144210184), np.float64(0.5274297120030981), np.float64(0.9741367904323135), np.float64(0.21330309844893136)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218566207061966791,500,2.236511707305908,0.9808628559112549,1.260948657989502,-65.38665771484375,"[np.float64(0.44004978961666075), np.float64(0.18569909110898164), np.float64(0.2464412267737791), np.float64(0.875194668492189), np.float64(0.6565584935280909), np.float64(0.14257034250750678), np.float64(0.5762566568229536), np.float64(0.2738942692056181), np.float64(0.530995695406603), np.float64(0.04762105441314568)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218566433543666988,500,7.913281440734863,1.154545545578003,6.768174409866333,-62.66952896118164,"[np.float64(0.9999965350723027), np.float64(0.11670539520662404), np.float64(0.4694639833807026), np.float64(0.8781501276951484), np.float64(0.3127251886996235), np.float64(0.015063019809542055), np.float64(0.7960153926123622), np.float64(0.9464436058131607), np.float64(0.6643487066413578), np.float64(0.08395777918367575)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),17721856722796212075,500,2.043574094772339,0.9763655662536621,1.076214075088501,-68.56657409667969,"[np.float64(0.017993895502549706), np.float64(0.16477613045997097), np.float64(0.07186555076909806), np.float64(0.9473820306175299), np.float64(0.46079915180151587), np.float64(0.9137507613198916), np.float64(0.5181736951466728), np.float64(0.6710118257130112), np.float64(0.9783693844280769), np.float64(0.5069580698956595)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218567435504916860,500,3.8388803005218506,0.9854166507720947,2.862743377685547,-60.86335754394531,"[np.float64(0.9445633315425915), np.float64(0.5810508207492688), np.float64(0.8128202664353577), np.float64(0.175678328916144), np.float64(0.013842190169285118), np.float64(0.5867454014868233), np.float64(0.7571257291135848), np.float64(0.8907711689096244), np.float64(0.4079886979674393), np.float64(0.046851687081843174)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218567822638687358,500,5.012580394744873,1.1296465396881104,3.900829792022705,-69.14558410644531,"[np.float64(0.14785732895637527), np.float64(0.2129189692197364), np.float64(0.5134422340069772), np.float64(0.8516623801372718), np.float64(0.6336869109829537), np.float64(0.5556367946696619), np.float64(0.8999039940286997), np.float64(0.7850520480783927), np.float64(0.9780880937233248), np.float64(0.07400145208012798)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),17721856833423049546,500,4.039327383041382,1.023324728012085,3.2089171409606934,-65.25454711914062,"[np.float64(0.000883884811030855), np.float64(0.32104198299515885), np.float64(0.13134846898236918), np.float64(0.9872063702999132), np.float64(0.33292914267813256), np.float64(0.8144262264873157), np.float64(0.5169333982805937), np.float64(0.941427306959724), np.float64(0.2176056423867988), np.float64(0.1200323090788028)]"
