approach,problem,exp_id,total_iters,total_time,total_model_time,total_eval_time,best_fitness,best_x
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218748117368962646,500,1.9988057613372803,0.9646191596984863,1.048119306564331,-69.592529296875,"[np.float64(0.9672446134060434), np.float64(0.7832938322256358), np.float64(0.6258403112598677), np.float64(0.07178299726497894), np.float64(0.8497923040281251), np.float64(0.04408217001807668), np.float64(0.34815368606586705), np.float64(0.153612866091414), np.float64(0.03340525692259444), np.float64(0.7975372329033751)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218748321054727489,500,2.0103793144226074,0.984743595123291,1.0436279773712158,-69.4161605834961,"[np.float64(0.4318733591887558), np.float64(0.9559883379559805), np.float64(0.624450012982944), np.float64(0.8208492856137933), np.float64(0.19541767460770276), np.float64(0.9672704056338133), np.float64(0.626626027787018), np.float64(0.5039426537489908), np.float64(0.9593717200034746), np.float64(0.046905030412764726)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218748526360927669,500,2.074110507965088,0.966132402420044,1.1165361404418945,-68.76889038085938,"[np.float64(0.13693940307850894), np.float64(0.22210082726412894), np.float64(0.8741285223298039), np.float64(0.9864052493081836), np.float64(0.003234964246148442), np.float64(0.5182682293585785), np.float64(0.33308494941520217), np.float64(0.8769201347421262), np.float64(0.09740880669519514), np.float64(0.7811742767359968)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),17721874873704255865,500,2.7199254035949707,0.9879047870635986,1.7407732009887695,-69.34477233886719,"[np.float64(0.5545168096966523), np.float64(0.9644660042355296), np.float64(0.02983128991769124), np.float64(0.8440456508126697), np.float64(0.9417665129806237), np.float64(0.08418291881363504), np.float64(0.07072365438180928), np.float64(0.569576883424712), np.float64(0.7044362343834755), np.float64(0.3374455181268742)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),17721874901233088496,500,2.002859115600586,0.9553897380828857,1.0526702404022217,-69.25422668457031,"[np.float64(0.028343937356117732), np.float64(0.31391058184188914), np.float64(0.06401300926314057), np.float64(0.7830350205076462), np.float64(0.9554417778235949), np.float64(0.1932239234122043), np.float64(0.3775723138208803), np.float64(0.21769964611262194), np.float64(0.7217371817142859), np.float64(0.1959494446252248)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218749215534024551,500,1.9884376525878906,0.9603826999664307,1.0334527492523193,-69.95491027832031,"[np.float64(0.025219984587044664), np.float64(0.6060612916780524), np.float64(0.7175576364620839), np.float64(0.8906054601603669), np.float64(0.2210607171289397), np.float64(0.9207903728574764), np.float64(0.5031020550725176), np.float64(0.23693937556750966), np.float64(0.04606447208450737), np.float64(0.8327301049466259)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218749417881711257,500,2.290205478668213,1.003467321395874,1.2925622463226318,-67.7383804321289,"[np.float64(0.13558447043091182), np.float64(0.7755774972309678), np.float64(0.3097173646158723), np.float64(0.08324075086494565), np.float64(0.0022827775100022762), np.float64(0.6007542033795013), np.float64(0.8968277201996514), np.float64(0.9429008763048055), np.float64(0.43177453410195576), np.float64(0.8825415616839609)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218749649851662533,500,1.941894292831421,0.9760739803314209,0.9710440635681152,-69.59203338623047,"[np.float64(0.31120913444816967), np.float64(0.3397310611394946), np.float64(0.18266474455416948), np.float64(0.9783786356106954), np.float64(0.7817081773162813), np.float64(0.5817987766615214), np.float64(0.0012647703526308396), np.float64(0.7914722957076549), np.float64(0.650241229525595), np.float64(0.13785304772655893)]"
hyperopt/tpe,WW_sorted_surrogate(d=10),1772187498471350210748,500,10.12455129623413,8.589031457901001,1.54502534866333,-68.49142456054688,"[np.float64(0.03036431578006528), np.float64(0.9259611813098015), np.float64(0.44881638529173135), np.float64(0.9466931469794941), np.float64(0.6116112819476894), np.float64(0.19777672035367502), np.float64(0.29351174881694087), np.float64(0.9117743068718192), np.float64(0.9209110131210767), np.float64(0.7212074788228233)]"
hyperopt/tpe,WW_sorted_surrogate(d=10),177218750862587178686,500,10.205782651901245,8.624582290649414,1.5882759094238281,-70.42112731933594,"[np.float64(0.029054698941487014), np.float64(0.5390893670574152), np.float64(0.9384558018176744), np.float64(0.13011291760369526), np.float64(0.5945666160648772), np.float64(0.9987574852151088), np.float64(0.1897868862058041), np.float64(0.8759823825743299), np.float64(0.210031123475795), np.float64(0.4868324240156071)]"
